Source,Site,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
DEP ECA,GOC002,9,2016,Nitrate-Nitrite (N),0.013306365,mg/L N,8.2,
DEP ECA,GOC004,9,2016,Nitrate-Nitrite (N),0.002941407,mg/L N,6.4,
DEP ECA,GOC009,9,2016,Nitrate-Nitrite (N),0.002661273,mg/L N,8.5,
DEP ECA,GOC013,9,2016,Nitrate-Nitrite (N),0.004762278,mg/L N,50.3,
DEP ECA,STL161,9,2016,Nitrate-Nitrite (N),0.056727135,mg/L N,4.9,
DEP ECA,STL165,9,2016,Nitrate-Nitrite (N),0.016107705,mg/L N,4.3,
DEP ECA,STL169,9,2016,Nitrate-Nitrite (N),0.044961507,mg/L N,2.1,
DEP ECA,STL163,10,2016,Nitrate-Nitrite (N),0.000840402,mg/L N,8.2,
DEP ECA,GOC003,11,2016,Nitrate-Nitrite (N),0.005322546,mg/L N,16.8,
DEP ECA,GOC005,11,2016,Nitrate-Nitrite (N),0.001540737,mg/L N,5.2,
DEP ECA,GOC010,11,2016,Nitrate-Nitrite (N),0.002661273,mg/L N,9.4,
DEP ECA,GOC006,12,2016,Nitrate-Nitrite (N),0.006583149,mg/L N,5.2,
DEP ECA,GOC009,12,2016,Nitrate-Nitrite (N),0.002521206,mg/L N,8.2,
DEP ECA,STL161,12,2016,Nitrate-Nitrite (N),0.017228241,mg/L N,5.2,
DEP ECA,STL164,12,2016,Nitrate-Nitrite (N),0.001680804,mg/L N,2.4,
DEP ECA,STL169,12,2016,Nitrate-Nitrite (N),0.003221541,mg/L N,2.4,
DEP ECA,STL171,12,2016,Nitrate-Nitrite (N),0.001820871,mg/L N,3.4,
DEP ECA,GOC001,1,2017,Nitrate-Nitrite (N),0.01120536,mg/L N,5.8,
DEP ECA,GOC005,1,2017,Nitrate-Nitrite (N),0.007843752,mg/L N,6.1,
DEP ECA,GOC010,1,2017,Nitrate-Nitrite (N),0.002661273,mg/L N,9.8,
DEP ECA,STL166,1,2017,Nitrate-Nitrite (N),0.000840402,mg/L N,6.7,
DEP ECA,STL169,1,2017,Nitrate-Nitrite (N),0.000700335,mg/L N,2.1,
DEP ECA,GOC001,2,2017,Nitrate-Nitrite (N),0.00560268,mg/L N,5.8,
DEP ECA,GOC005,2,2017,Nitrate-Nitrite (N),0.001260603,mg/L N,6.1,
DEP ECA,GOC010,2,2017,Nitrate-Nitrite (N),0.002241072,mg/L N,8.8,
DEP ECA,GOC003,3,2017,Nitrate-Nitrite (N),0.003501675,mg/L N,16.8,
DEP ECA,GOC008,3,2017,Nitrate-Nitrite (N),0.002241072,mg/L N,5.2,
DEP ECA,GOC011,3,2017,Nitrate-Nitrite (N),0.001960938,mg/L N,5.5,
DEP ECA,GOC013,3,2017,Nitrate-Nitrite (N),0.000420201,mg/L N,50.3,
DEP ECA,GOC015,3,2017,Nitrate-Nitrite (N),0.001960938,mg/L N,28.6,
DEP ECA,GOC003,4,2017,Nitrate-Nitrite (N),0.014987169,mg/L N,16.8,
DEP ECA,GOC006,4,2017,Nitrate-Nitrite (N),0.000700335,mg/L N,4.3,
DEP ECA,GOC011,4,2017,Nitrate-Nitrite (N),0.001540737,mg/L N,7,
DEP ECA,STL163,4,2017,Nitrate-Nitrite (N),0.015127236,mg/L N,7,
DEP ECA,STL166,4,2017,Nitrate-Nitrite (N),0.002101005,mg/L N,5.8,
DEP ECA,GOC004,5,2017,Nitrate-Nitrite (N),0.000700335,mg/L N,8,
DEP ECA,GOC009,5,2017,Nitrate-Nitrite (N),0.003781809,mg/L N,5.5,
DEP ECA,GOC013,5,2017,Nitrate-Nitrite (N),0,mg/L N,51,
DEP ECA,STL161,5,2017,Nitrate-Nitrite (N),0.00140067,mg/L N,4,
DEP ECA,STL164,5,2017,Nitrate-Nitrite (N),0,mg/L N,1.8,
DEP ECA,STL167,5,2017,Nitrate-Nitrite (N),0.006022881,mg/L N,6.7,
DEP ECA,STL171,5,2017,Nitrate-Nitrite (N),0.004482144,mg/L N,3,
DEP ECA,GOC003,6,2017,Nitrate-Nitrite (N),0.018348777,mg/L N,16.8,
DEP ECA,GOC006,6,2017,Nitrate-Nitrite (N),0.006723216,mg/L N,4.3,
DEP ECA,GOC011,6,2017,Nitrate-Nitrite (N),0.007283484,mg/L N,7.3,
