Source,Site,Date,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
AOML,1,Jun-98,6,1998,SiO2,2.09,umol/L,,0
AOML,2,Jun-98,6,1998,SiO2,0.61,umol/L,,0
AOML,3,Jun-98,6,1998,SiO2,0.39,umol/L,,0
AOML,6,Jun-98,6,1998,SiO2,0.32,umol/L,,0
AOML,5,Jun-98,6,1998,SiO2,2.02,umol/L,,0
AOML,4,Jun-98,6,1998,SiO2,6.68,umol/L,,0
AOML,7,Jun-98,6,1998,SiO2,3.31,umol/L,,0
AOML,8,Jun-98,6,1998,SiO2,0.32,umol/L,,0
AOML,9,Jun-98,6,1998,SiO2,0.8,umol/L,,0
AOML,12,Jun-98,6,1998,SiO2,0.32,umol/L,,0
AOML,11,Jun-98,6,1998,SiO2,5.37,umol/L,,0
AOML,10,Jun-98,6,1998,SiO2,0.45,umol/L,,0
AOML,13,Jun-98,6,1998,SiO2,2.19,umol/L,,0
AOML,14,Jun-98,6,1998,SiO2,0.48,umol/L,,0
AOML,15,Jun-98,6,1998,SiO2,0.9,umol/L,,0
AOML,16,Jun-98,6,1998,SiO2,2.31,umol/L,,0
AOML,17,Jun-98,6,1998,SiO2,4.56,umol/L,,0
AOML,18,Jun-98,6,1998,SiO2,1,umol/L,,0
AOML,21,Jun-98,6,1998,SiO2,0.9,umol/L,,0
AOML,20,Jun-98,6,1998,SiO2,1.58,umol/L,,0
AOML,19,Jun-98,6,1998,SiO2,0.96,umol/L,,0
AOML,23,Jun-98,6,1998,SiO2,0.9,umol/L,,0
AOML,30,Jun-98,6,1998,SiO2,4.67,umol/L,,0
AOML,30.5,Jun-98,6,1998,SiO2,0.86,umol/L,,0
AOML,31,Jun-98,6,1998,SiO2,0.86,umol/L,,0
AOML,32,Jun-98,6,1998,SiO2,0.86,umol/L,,0
AOML,33,Jun-98,6,1998,SiO2,0.86,umol/L,,0
AOML,34,Jun-98,6,1998,SiO2,10.72,umol/L,,0
AOML,43,Jun-98,6,1998,SiO2,0.86,umol/L,,0
AOML,43,Jun-98,6,1998,SiO2,0.86,umol/L,,0
AOML,42,Jun-98,6,1998,SiO2,2.64,umol/L,,0
AOML,41,Jun-98,6,1998,SiO2,6.85,umol/L,,0
AOML,40,Jun-98,6,1998,SiO2,8.88,umol/L,,0
AOML,39,Jun-98,6,1998,SiO2,9.76,umol/L,,0
AOML,46,Jun-98,6,1998,SiO2,0.86,umol/L,,0
AOML,47,Jun-98,6,1998,SiO2,15.99,umol/L,,0
AOML,49,Jun-98,6,1998,SiO2,15.63,umol/L,,0
AOML,50,Jun-98,6,1998,SiO2,6.98,umol/L,,0
AOML,51,Jun-98,6,1998,SiO2,14.89,umol/L,,0
AOML,53,Jun-98,6,1998,SiO2,21.69,umol/L,,0
AOML,54,Jun-98,6,1998,SiO2,25.1,umol/L,,0
AOML,55,Jun-98,6,1998,SiO2,17.75,umol/L,,0
AOML,56,Jun-98,6,1998,SiO2,10.61,umol/L,,0
AOML,57,Jun-98,6,1998,SiO2,0,umol/L,,0
AOML,60,Jun-98,6,1998,SiO2,0.43,umol/L,,0
AOML,61,Jun-98,6,1998,SiO2,4.76,umol/L,,0
AOML,63,Jun-98,6,1998,SiO2,2.33,umol/L,,0
AOML,64,Jun-98,6,1998,SiO2,2.3,umol/L,,0
AOML,65,Jun-98,6,1998,SiO2,0,umol/L,,0
AOML,66,Jun-98,6,1998,SiO2,2.06,umol/L,,0
AOML,67,Jun-98,6,1998,SiO2,2.67,umol/L,,0
AOML,68,Jun-98,6,1998,SiO2,6.83,umol/L,,0
AOML,69,Jun-98,6,1998,SiO2,3.75,umol/L,,0
AOML,70,Jun-98,6,1998,SiO2,15.9,umol/L,,0
AOML,69,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,68,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,64,Feb-99,2,1999,SiO2,0.77,umol/L,,0
AOML,63,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,61,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,60,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,59,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,58,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,57,Feb-99,2,1999,SiO2,10.36,umol/L,,0
AOML,56,Feb-99,2,1999,SiO2,9.25,umol/L,,0
AOML,55,Feb-99,2,1999,SiO2,10.1,umol/L,,0
AOML,54,Feb-99,2,1999,SiO2,8.31,umol/L,,0
AOML,53,Feb-99,2,1999,SiO2,12.41,umol/L,,0
AOML,52,Feb-99,2,1999,SiO2,7.02,umol/L,,0
AOML,51,Feb-99,2,1999,SiO2,2.57,umol/L,,0
AOML,50,Feb-99,2,1999,SiO2,0.26,umol/L,,0
AOML,49,Feb-99,2,1999,SiO2,8.22,umol/L,,0
AOML,48,Feb-99,2,1999,SiO2,11.47,umol/L,,0
AOML,47,Feb-99,2,1999,SiO2,6.16,umol/L,,0
AOML,46,Feb-99,2,1999,SiO2,2.65,umol/L,,0
AOML,45,Feb-99,2,1999,SiO2,2.57,umol/L,,0
AOML,44,Feb-99,2,1999,SiO2,0,umol/L,,0
AOML,43,Feb-99,2,1999,SiO2,0,umol/L,,0
