Source,Site,Month,Year,Parameter,Value,Units
DERM,LR06,1,2022,TKN,0.55,mg/L
DERM,BB15,1,2022,TKN,0.35,mg/L
DERM,LR05,1,2022,TKN,0.53,mg/L
DERM,BS04,1,2022,TKN,0.5,mg/L
DERM,AC03,1,2022,TKN,0.67,mg/L
DERM,BB14,1,2022,TKN,0.35,mg/L
DERM,AC06,1,2022,TKN,1.66,mg/L
DERM,LR08,1,2022,TKN,0.77,mg/L
DERM,BB11,1,2022,TKN,0.37,mg/L
DERM,BB13A,1,2022,TKN,0.38,mg/L
DERM,LR01,1,2022,TKN,0.43,mg/L
DERM,LR10,1,2022,TKN,3.47,mg/L
DERM,OL03,1,2022,TKN,0.58,mg/L
DERM,BS01,1,2022,TKN,0.38,mg/L
DERM,SK05,1,2022,TKN,0.6,mg/L
DERM,BB09,1,2022,TKN,0.36,mg/L
DERM,BB10,1,2022,TKN,0.27,mg/L
DERM,SK10,1,2022,TKN,0.71,mg/L
DERM,AC01,1,2022,TKN,0.27,mg/L
DERM,BB05A,1,2022,TKN,0.22,mg/L
DERM,SK02,1,2022,TKN,0.59,mg/L
DERM,BS11,1,2022,TKN,1.56,mg/L
DERM,BB04,1,2022,TKN,0.28,mg/L
DERM,BB02,1,2022,TKN,0.29,mg/L
DERM,BS10,1,2022,TKN,0.71,mg/L
DERM,SK01,1,2022,TKN,0.43,mg/L
DERM,SK09,1,2022,TKN,0.73,mg/L
DERM,WC02,1,2022,TKN,0.35,mg/L
DERM,WC03,1,2022,TKN,0.39,mg/L
DERM,BB26,1,2022,TKN,0.38,mg/L
DERM,BB22,1,2022,TKN,0.24,mg/L
DERM,WC04,1,2022,TKN,0.59,mg/L
DERM,BB24,1,2022,TKN,0.27,mg/L
DERM,BBMB1,1,2022,TKN,0.37,mg/L
DERM,TM02,1,2022,TKN,0.61,mg/L
DERM,TM05,1,2022,TKN,0.85,mg/L
DERM,BB18,1,2022,TKN,0.34,mg/L
DERM,TM03A,1,2022,TKN,0.42,mg/L
DERM,BB17,1,2022,TKN,0.34,mg/L
DERM,MR08,1,2022,TKN,0.51,mg/L
DERM,TM08,1,2022,TKN,0.85,mg/L
DERM,MR01,1,2022,TKN,0.36,mg/L
DERM,MR03,1,2022,TKN,0.47,mg/L
DERM,MR15,1,2022,TKN,0.6,mg/L
DERM,MR05,1,2022,TKN,0.44,mg/L
DERM,MR07,1,2022,TKN,0.57,mg/L
DERM,CM02,1,2022,TKN,0.38,mg/L
DERM,BB38,1,2022,TKN,0.31,mg/L
DERM,AR03,1,2022,TKN,0.36,mg/L
DERM,BL12,1,2022,TKN,0.79,mg/L
DERM,BL06,1,2022,TKN,0.58,mg/L
DERM,BISC121,1,2022,TKN,0.4,mg/L
DERM,PR08,1,2022,TKN,0.8,mg/L
DERM,BB47,1,2022,TKN,0.35,mg/L
DERM,MW04,1,2022,TKN,0.12,mg/L
DERM,BBOR1,1,2022,TKN,0.45,mg/L
DERM,MW13,1,2022,TKN,0.67,mg/L
DERM,BBOR2,1,2022,TKN,0.55,mg/L
DERM,MI03,1,2022,TKN,0.47,mg/L
DERM,BB48,1,2022,TKN,0.51,mg/L
DERM,MW05,1,2022,TKN,0.43,mg/L
DERM,MI02,1,2022,TKN,0.45,mg/L
DERM,BB50,1,2022,TKN,0.68,mg/L
DERM,L31E1,1,2022,TKN,0.62,mg/L
DERM,PR04A,1,2022,TKN,0.21,mg/L
DERM,BB51,1,2022,TKN,0.65,mg/L
DERM,PR03,1,2022,TKN,0.17,mg/L
DERM,NO07A,1,2022,TKN,0.13,mg/L
DERM,BISC122,1,2022,TKN,0.42,mg/L
DERM,FC03,1,2022,TKN,0.24,mg/L
DERM,BL03,1,2022,TKN,0.17,mg/L
DERM,BB41,1,2022,TKN,0.36,mg/L
DERM,FC15,1,2022,TKN,0.21,mg/L
DERM,BISC101,1,2022,TKN,0.32,mg/L
DERM,GL02,1,2022,TKN,1.39,mg/L
DERM,BB39A,1,2022,TKN,0.36,mg/L
DERM,BB31,1,2022,TKN,0.29,mg/L
DERM,CG07,1,2022,TKN,0.52,mg/L
DERM,CG01,1,2022,TKN,0.31,mg/L
DERM,BB34,1,2022,TKN,0.34,mg/L
DERM,SP08,1,2022,TKN,1.02,mg/L
DERM,SP01,1,2022,TKN,0.35,mg/L
DERM,CD09,1,2022,TKN,0.32,mg/L
DERM,BB15A,1,2022,TKN,0.31,mg/L
DERM,CD01A,1,2022,TKN,0.4,mg/L
DERM,BB08,1,2022,TKN,0.25,mg/L
DERM,BISC127,1,2022,TKN,0.29,mg/L
DERM,SP04,1,2022,TKN,0.89,mg/L
DERM,BB37,1,2022,TKN,0.19,mg/L
DERM,CD02,1,2022,TKN,0.25,mg/L
DERM,BBMB4,1,2022,TKN,0.3,mg/L
DERM,BB32,1,2022,TKN,0.26,mg/L
DERM,BBKB1,1,2022,TKN,0.3,mg/L
DERM,BBMB3,1,2022,TKN,0.23,mg/L
DERM,CD05,1,2022,TKN,0.24,mg/L
DERM,BBMB2,1,2022,TKN,0.24,mg/L
DERM,CG02A,1,2022,TKN,0.17,mg/L
DERM,BB15,2,2022,TKN,0.28,mg/L
DERM,LR06,2,2022,TKN,0.66,mg/L
DERM,LR05,2,2022,TKN,0.78,mg/L
DERM,BS04,2,2022,TKN,0.53,mg/L
DERM,BB14,2,2022,TKN,0.24,mg/L
DERM,LR08,2,2022,TKN,0.82,mg/L
DERM,BB13A,2,2022,TKN,0.2,mg/L
DERM,AC03,2,2022,TKN,0.36,mg/L
DERM,BB11,2,2022,TKN,0.25,mg/L
DERM,LR01,2,2022,TKN,0.59,mg/L
DERM,AC06,2,2022,TKN,1.25,mg/L
DERM,LR10,2,2022,TKN,3.36,mg/L
DERM,BS01,2,2022,TKN,0.21,mg/L
DERM,BB09,2,2022,TKN,0.19,mg/L
DERM,OL03,2,2022,TKN,0.7,mg/L
DERM,BB10,2,2022,TKN,0.22,mg/L
DERM,AC01,2,2022,TKN,0.29,mg/L
DERM,SK05,2,2022,TKN,0.55,mg/L
DERM,SK10,2,2022,TKN,0.76,mg/L
DERM,BB05A,2,2022,TKN,0.16,mg/L
DERM,BB04,2,2022,TKN,0.13,mg/L
DERM,SK02,2,2022,TKN,0.5,mg/L
DERM,BS11,2,2022,TKN,1.22,mg/L
DERM,BB02,2,2022,TKN,0.23,mg/L
DERM,SK01,2,2022,TKN,0.25,mg/L
DERM,BS10,2,2022,TKN,0.84,mg/L
DERM,SK09,2,2022,TKN,0.79,mg/L
DERM,WC02,2,2022,TKN,0.19,mg/L
DERM,BB26,2,2022,TKN,0.15,mg/L
DERM,WC03,2,2022,TKN,0.2,mg/L
DERM,BB22,2,2022,TKN,0.2,mg/L
DERM,WC04,2,2022,TKN,0.55,mg/L
DERM,BB24,2,2022,TKN,0.2,mg/L
DERM,BBMB1,2,2022,TKN,0.18,mg/L
DERM,TM02,2,2022,TKN,0.33,mg/L
DERM,TM05,2,2022,TKN,0.85,mg/L
DERM,BB18,2,2022,TKN,0.18,mg/L
DERM,TM03A,2,2022,TKN,0.41,mg/L
DERM,BB17,2,2022,TKN,0.18,mg/L
DERM,TM08,2,2022,TKN,0.92,mg/L
DERM,MR08,2,2022,TKN,0.52,mg/L
DERM,MR01,2,2022,TKN,0.23,mg/L
DERM,MR03,2,2022,TKN,0.44,mg/L
DERM,MR15,2,2022,TKN,0.66,mg/L
DERM,MR05,2,2022,TKN,0.36,mg/L
DERM,MR07,2,2022,TKN,0.4,mg/L
DERM,CM02,2,2022,TKN,0.34,mg/L
DERM,BB38,2,2022,TKN,0.19,mg/L
DERM,BL12,2,2022,TKN,0.69,mg/L
DERM,BL06,2,2022,TKN,0.36,mg/L
DERM,AR03,2,2022,TKN,0.33,mg/L
DERM,BISC121,2,2022,TKN,0.32,mg/L
DERM,BB47,2,2022,TKN,0.39,mg/L
DERM,PR08,2,2022,TKN,0.49,mg/L
DERM,BBOR1,2,2022,TKN,0.28,mg/L
DERM,MW04,2,2022,TKN,0.18,mg/L
DERM,MW13,2,2022,TKN,0.48,mg/L
DERM,BBOR2,2,2022,TKN,0.39,mg/L
DERM,MI03,2,2022,TKN,0.42,mg/L
DERM,BB48,2,2022,TKN,0.37,mg/L
DERM,MW05,2,2022,TKN,0.26,mg/L
DERM,MI02,2,2022,TKN,0.34,mg/L
DERM,L31E1,2,2022,TKN,0.45,mg/L
DERM,BB50,2,2022,TKN,0.47,mg/L
DERM,PR04A,2,2022,TKN,0.15,mg/L
DERM,PR03,2,2022,TKN,0.23,mg/L
DERM,BB51,2,2022,TKN,0.55,mg/L
DERM,NO07A,2,2022,TKN,0.1,mg/L
DERM,BL03,2,2022,TKN,0.38,mg/L
DERM,FC03,2,2022,TKN,0.1,mg/L
DERM,BISC122,2,2022,TKN,0.34,mg/L
DERM,GL02,2,2022,TKN,0.76,mg/L
DERM,BB41,2,2022,TKN,0.29,mg/L
DERM,FC15,2,2022,TKN,0.18,mg/L
DERM,BISC101,2,2022,TKN,0.49,mg/L
DERM,BB39A,2,2022,TKN,0.43,mg/L
DERM,CG07,2,2022,TKN,0.63,mg/L
DERM,BB31,2,2022,TKN,0.32,mg/L
DERM,SP08,2,2022,TKN,0.98,mg/L
DERM,CG01,2,2022,TKN,0.38,mg/L
DERM,BB34,2,2022,TKN,0.39,mg/L
DERM,CD09,2,2022,TKN,0.22,mg/L
DERM,SP01,2,2022,TKN,0.85,mg/L
DERM,BB15A,2,2022,TKN,0.36,mg/L
DERM,CD01A,2,2022,TKN,0.41,mg/L
DERM,SP04,2,2022,TKN,0.77,mg/L
DERM,BB08,2,2022,TKN,0.36,mg/L
DERM,BISC127,2,2022,TKN,0.28,mg/L
DERM,BB37,2,2022,TKN,0.16,mg/L
DERM,CD02,2,2022,TKN,0.18,mg/L
DERM,BBMB4,2,2022,TKN,0.35,mg/L
DERM,CD05,2,2022,TKN,0.2,mg/L
DERM,BB32,2,2022,TKN,0.2,mg/L
DERM,BBKB1,2,2022,TKN,0.23,mg/L
DERM,BBMB3,2,2022,TKN,0.34,mg/L
DERM,BBMB2,2,2022,TKN,0.29,mg/L
DERM,CG02A,2,2022,TKN,0.23,mg/L
DERM,LR05,3,2022,TKN,0.77,mg/L
DERM,LR06,3,2022,TKN,0.63,mg/L
DERM,BB15,3,2022,TKN,0.27,mg/L
DERM,BB14,3,2022,TKN,0.25,mg/L
DERM,BS04,3,2022,TKN,0.41,mg/L
DERM,BB13A,3,2022,TKN,0.26,mg/L
DERM,LR08,3,2022,TKN,0.72,mg/L
DERM,BB11,3,2022,TKN,0.31,mg/L
DERM,LR01,3,2022,TKN,0.74,mg/L
DERM,AC03,3,2022,TKN,0.77,mg/L
DERM,AC06,3,2022,TKN,1.85,mg/L
DERM,BS01,3,2022,TKN,0.25,mg/L
DERM,LR10,3,2022,TKN,3.53,mg/L
DERM,BB09,3,2022,TKN,0.15,mg/L
DERM,BB10,3,2022,TKN,0.2,mg/L
DERM,AC01,3,2022,TKN,0.24,mg/L
DERM,BB05A,3,2022,TKN,0.27,mg/L
DERM,SK10,3,2022,TKN,0.87,mg/L
DERM,OL03,3,2022,TKN,0.6,mg/L
DERM,BB04,3,2022,TKN,0.19,mg/L
DERM,BB02,3,2022,TKN,0.14,mg/L
DERM,BS11,3,2022,TKN,1.28,mg/L
DERM,SK05,3,2022,TKN,0.65,mg/L
DERM,SK01,3,2022,TKN,0.34,mg/L
