Source,Site,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
BC,#1 HILLSBORO CANAL US 1,2,2006,TN,0.83,mg/L,,
BC,#10 MIDDLE RIVER E SUNRISE,2,2006,TN,0.85,mg/L,,
BC,#11 MIDDLE RIVER NW 21ST AVE,2,2006,TN,1.01,mg/L,,
BC,#110 POMPANO CANAL AT DIXIE AN,2,2006,TN,0.746,mg/L,,
BC,#111 S. FORK MID R. @ N.E. 15,2,2006,TN,1.01,mg/L,,
BC,#112 N. FORK MID R. @ N.E. 16,2,2006,TN,1.11,mg/L,,
BC,#12 MIDDLE RIVER NW 31ST AVE,2,2006,TN,1.45,mg/L,,
BC,#12 MIDDLE RIVER NW 31ST AVE,2,2006,TN,1.26,mg/L,,
BC,#14 MIDDLE RIVER UNIVERS. DRV,2,2006,TN,1.38,mg/L,,
BC,#15 NEW RIVER ANDREWS AVE,2,2006,TN,1.9,mg/L,,
BC,#15 NEW RIVER ANDREWS AVE,2,2006,TN,1.86,mg/L,,
BC,#16 NORTH FORK BROWARD BLVD,2,2006,TN,1.43,mg/L,,
BC,#19 NEW RIVER RIVER REACH,2,2006,TN,1.9,mg/L,,
BC,#2 HILLSBORO LOCK,2,2006,TN,1.58,mg/L,,
BC,#20 N NEW RIV BRADFORD MARINA,2,2006,TN,2.05,mg/L,,
BC,#22 N NEW RIVER SW 125 AVE,2,2006,TN,1.62,mg/L,,
BC,#23 N NEW RIVER E OF US 27,2,2006,TN,1.58,mg/L,,
BC,#24 DANIA CUT-OFF US-1,2,2006,TN,1.34,mg/L,,
BC,#25 HOLLYWOOD CANAL STIRLING,2,2006,TN,1.23,mg/L,,
BC,#26 DANIA CUT-OFF RAVENSWOOD,2,2006,TN,1.82,mg/L,,
BC,#28 S NEW RIVER CANAL FLAMINGO,2,2006,TN,1.64,mg/L,,
BC,#29 S NEW RIVER CANAL US 27,2,2006,TN,1.8,mg/L,,
BC,#3 HILLSBORO CANAL US 441,2,2006,TN,1.49,mg/L,,
BC,#31 SNAKE CRK CANAL FLAMINGO,2,2006,TN,1.02,mg/L,,
BC,#31 SNAKE CRK CANAL FLAMINGO,2,2006,TN,1.01,mg/L,,
BC,#32 SNAKE CRK CANAL US 27,2,2006,TN,1.31,mg/L,,
BC,#32 SNAKE CRK CANAL US 27,2,2006,TN,1.29,mg/L,,
BC,#33 ICW SOUTH OF HILLSBORO BRG,2,2006,TN,0.673,mg/L,,
BC,#34 ICW NORTH OF MARKER 71,2,2006,TN,0.374,mg/L,,
BC,#35 ICW NE 14TH ST POMPANO,2,2006,TN,0.661,mg/L,,
BC,#36 ICW COMMERCIAL BLVD,2,2006,TN,0.852,mg/L,,
BC,#36 ICW COMMERCIAL BLVD,2,2006,TN,0.774,mg/L,,
BC,#37 ICW SUNRISE BLVD,2,2006,TN,0.795,mg/L,,
BC,#38 ICW 17TH ST CAUSEWAY,2,2006,TN,0.644,mg/L,,
BC,#38 ICW 17TH ST CAUSEWAY,2,2006,TN,0.591,mg/L,,
BC,#39 ICW MARKER 35,2,2006,TN,0.63,mg/L,,
BC,#4 HILLSBORO CANAL SE GROWERS,2,2006,TN,2.38,mg/L,,
BC,#40 ICW SHERIDAN ST,2,2006,TN,0.585,mg/L,,
BC,#41 ICW HALLANDALE BCH BLVD,2,2006,TN,0.792,mg/L,,
BC,#5 POMPANO CANAL US1,2,2006,TN,0.883,mg/L,,
BC,#6 CYPRESS CREEK DIXIE HWY,2,2006,TN,1.18,mg/L,,
BC,#64 NORTH FORK AT SISTRUNK,2,2006,TN,1.46,mg/L,,
BC,#7 CYPRESS CREEK S. PALM AIRE,2,2006,TN,1.24,mg/L,,
BC,#8 POMPANO CANAL US 441,2,2006,TN,1.55,mg/L,,
BC,#8 POMPANO CANAL US 441,2,2006,TN,1.53,mg/L,,
BC,#89 NOB HILL RD POMPANO CANAL,2,2006,TN,2.1,mg/L,,
BC,#1 HILLSBORO CANAL US 1,5,2006,TN,1.06,mg/L,,
BC,#110 POMPANO CANAL AT DIXIE AN,5,2006,TN,0.398,mg/L,,
BC,#15 NEW RIVER ANDREWS AVE,5,2006,TN,1.02,mg/L,,
BC,#16 NORTH FORK BROWARD BLVD,5,2006,TN,1.64,mg/L,,
BC,#19 NEW RIVER RIVER REACH,5,2006,TN,1.32,mg/L,,
BC,#2 HILLSBORO LOCK,5,2006,TN,1.28,mg/L,,
BC,#20 N NEW RIV BRADFORD MARINA,5,2006,TN,1.59,mg/L,,
BC,#20 N NEW RIV BRADFORD MARINA,5,2006,TN,1.36,mg/L,,
BC,#23 N NEW RIVER E OF US 27,5,2006,TN,1.46,mg/L,,
BC,#29 S NEW RIVER CANAL US 27,5,2006,TN,1.62,mg/L,,
BC,#3 HILLSBORO CANAL US 441,5,2006,TN,1.68,mg/L,,
BC,#32 SNAKE CRK CANAL US 27,5,2006,TN,1.06,mg/L,,
