Source,Site,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
BBAP,BB14,2,2019,TP,0.013,mg/L,,
BBAP,DM08,2,2019,TP,0.013,mg/L,,
BBAP,DM28,2,2019,TP,0.014,mg/L,,
BBAP,JFK03,2,2019,TP,0.012,mg/L,,
BBAP,JT29,2,2019,TP,0.014,mg/L,,
BBAP,JT61,2,2019,TP,0.013,mg/L,,
BBAP,JT66,2,2019,TP,0.014,mg/L,,
BBAP,JT71,2,2019,TP,0.012,mg/L,,
BBAP,LR03,2,2019,TP,0.029,mg/L,,
BBAP,VR01,2,2019,TP,0.014,mg/L,,
BBAP,VR11,2,2019,TP,0.015,mg/L,,
BBAP,WQ01,2,2019,TP,0.011,mg/L,,
BBAP,WQ02,2,2019,TP,0.011,mg/L,,
BBAP,WQ03,2,2019,TP,0.014,mg/L,,
BBAP,WQ04,2,2019,TP,0.012,mg/L,,
BBAP,WQ05,2,2019,TP,0.012,mg/L,,
BBAP,BB14,4,2019,TP,0.008,mg/L,,
BBAP,DM08,4,2019,TP,0.014,mg/L,,
BBAP,DM28,4,2019,TP,0.011,mg/L,,
BBAP,JFK03,4,2019,TP,0.012,mg/L,,
BBAP,JT29,4,2019,TP,0.008,mg/L,,
BBAP,JT61,4,2019,TP,0.011,mg/L,,
BBAP,JT66,4,2019,TP,0.011,mg/L,,
BBAP,JT71,4,2019,TP,0.011,mg/L,,
BBAP,LR03,4,2019,TP,0.017,mg/L,,
BBAP,LR03,4,2019,TP,0.026,mg/L,,
BBAP,VR01,4,2019,TP,0.015,mg/L,,
BBAP,VR11,4,2019,TP,0.01,mg/L,,
BBAP,WQ01,4,2019,TP,0.017,mg/L,,
BBAP,WQ02,4,2019,TP,0.01,mg/L,,
BBAP,WQ03,4,2019,TP,0.011,mg/L,,
BBAP,WQ04,4,2019,TP,0.013,mg/L,,
BBAP,WQ05,4,2019,TP,0.01,mg/L,,
BBAP,BB14,5,2019,TP,0.012,mg/L,,
BBAP,DM08,5,2019,TP,0.02,mg/L,,
BBAP,DM28,5,2019,TP,0.015,mg/L,,
BBAP,JFK03,5,2019,TP,0.011,mg/L,,
BBAP,JT29,5,2019,TP,0.014,mg/L,,
BBAP,JT61,5,2019,TP,0.013,mg/L,,
BBAP,JT66,5,2019,TP,0.011,mg/L,,
BBAP,JT71,5,2019,TP,0.012,mg/L,,
BBAP,LR03,5,2019,TP,0.039,mg/L,,
BBAP,LR03,5,2019,TP,0.043,mg/L,,
BBAP,VR01,5,2019,TP,0.013,mg/L,,
BBAP,VR11,5,2019,TP,0.013,mg/L,,
BBAP,WQ01,5,2019,TP,0.015,mg/L,,
BBAP,WQ02,5,2019,TP,0.015,mg/L,,
BBAP,WQ03,5,2019,TP,0.014,mg/L,,
BBAP,WQ04,5,2019,TP,0.014,mg/L,,
BBAP,WQ05,5,2019,TP,0.016,mg/L,,
BBAP,BB14,6,2019,TP,0.008,mg/L,,
BBAP,DM28,6,2019,TP,0.019,mg/L,,
BBAP,DM28,6,2019,TP,0.009,mg/L,,
BBAP,JFK03,6,2019,TP,0.012,mg/L,,
BBAP,JFK03,6,2019,TP,0.008,mg/L,,
BBAP,JT29,6,2019,TP,0.009,mg/L,,
