Source,Site,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
DERM,LR06,2,2021,Turb,0.9,NTU,,
DERM,BS04,2,2021,Turb,0.3,NTU,,
DERM,BB14,2,2021,Turb,5.7,NTU,,
DERM,LR05,2,2021,Turb,0.7,NTU,,
DERM,AC03,2,2021,Turb,4,NTU,,
DERM,LR08,2,2021,Turb,0.7,NTU,,
DERM,BB11,2,2021,Turb,2.1,NTU,,
DERM,LR01,2,2021,Turb,1.3,NTU,,
DERM,AC06,2,2021,Turb,6.7,NTU,,
DERM,LR10,2,2021,Turb,0.4,NTU,,
DERM,BS01,2,2021,Turb,0.8,NTU,,
DERM,BB09,2,2021,Turb,1.1,NTU,,
DERM,SK10,2,2021,Turb,0.7,NTU,,
DERM,BB10,2,2021,Turb,1.5,NTU,,
DERM,OL03,2,2021,Turb,1.3,NTU,,
DERM,AC01,2,2021,Turb,0.8,NTU,,
DERM,BS11,2,2021,Turb,5.7,NTU,,
DERM,BB05A,2,2021,Turb,1.1,NTU,,
DERM,SK05,2,2021,Turb,0.8,NTU,,
DERM,BS10,2,2021,Turb,0.7,NTU,,
DERM,BB04,2,2021,Turb,1.1,NTU,,
DERM,SK09,2,2021,Turb,0.6,NTU,,
DERM,SK02,2,2021,Turb,0.7,NTU,,
DERM,BB02,2,2021,Turb,0.9,NTU,,
DERM,SK01,2,2021,Turb,1.7,NTU,,
DERM,BB26,2,2021,Turb,1.6,NTU,,
DERM,WC03,2,2021,Turb,0.7,NTU,,
DERM,BB22,2,2021,Turb,1.4,NTU,,
DERM,WC02,2,2021,Turb,1.6,NTU,,
DERM,TM05,2,2021,Turb,1.8,NTU,,
DERM,BB24,2,2021,Turb,1.2,NTU,,
DERM,WC04,2,2021,Turb,2.2,NTU,,
DERM,BBMB1,2,2021,Turb,2.7,NTU,,
DERM,BB18,2,2021,Turb,2.3,NTU,,
DERM,TM08,2,2021,Turb,0.6,NTU,,
DERM,TM02,2,2021,Turb,1,NTU,,
DERM,BB17,2,2021,Turb,2,NTU,,
DERM,MR15,2,2021,Turb,0.3,NTU,,
DERM,TM03A,2,2021,Turb,0.5,NTU,,
DERM,MR01,2,2021,Turb,1.4,NTU,,
DERM,CM02,2,2021,Turb,1.4,NTU,,
DERM,MR08,2,2021,Turb,0.6,NTU,,
DERM,MR03,2,2021,Turb,0.7,NTU,,
DERM,MR05,2,2021,Turb,0.5,NTU,,
DERM,MR07,2,2021,Turb,0.9,NTU,,
DERM,BB38,2,2021,Turb,3.7,NTU,,
DERM,AR03,2,2021,Turb,0.5,NTU,,
DERM,BISC121,2,2021,Turb,1.9,NTU,,
DERM,BB47,2,2021,Turb,2.2,NTU,,
DERM,BBOR1,2,2021,Turb,3,NTU,,
DERM,BBOR2,2,2021,Turb,3.3,NTU,,
DERM,MW04,2,2021,Turb,0.3,NTU,,
DERM,BL12,2,2021,Turb,0.9,NTU,,
DERM,BB48,2,2021,Turb,2.1,NTU,,
DERM,MI03,2,2021,Turb,0.6,NTU,,
DERM,BB50,2,2021,Turb,2.5,NTU,,
DERM,MI02,2,2021,Turb,0.4,NTU,,
DERM,BL06,2,2021,Turb,0.9,NTU,,
DERM,BB51,2,2021,Turb,1,NTU,,
DERM,L31E1,2,2021,Turb,0.9,NTU,,
DERM,PR03,2,2021,Turb,1.7,NTU,,
DERM,PR08,2,2021,Turb,1.4,NTU,,
DERM,BISC122,2,2021,Turb,1.2,NTU,,
DERM,BB41,2,2021,Turb,0.8,NTU,,
DERM,MW13,2,2021,Turb,0.9,NTU,,
DERM,BISC101,2,2021,Turb,0.9,NTU,,
DERM,BL03,2,2021,Turb,0.8,NTU,,
DERM,BB39A,2,2021,Turb,0.7,NTU,,
DERM,GL02,2,2021,Turb,1.2,NTU,,
DERM,MW05,2,2021,Turb,1770,NTU,,
DERM,PR04A,2,2021,Turb,0.5,NTU,,
DERM,NO07A,2,2021,Turb,1.4,NTU,,
DERM,FC03,2,2021,Turb,0.4,NTU,,
DERM,FC15,2,2021,Turb,2.7,NTU,,
DERM,BB31,2,2021,Turb,0.4,NTU,,
DERM,CG07,2,2021,Turb,1.4,NTU,,
DERM,CG01,2,2021,Turb,0.6,NTU,,
DERM,BB34,2,2021,Turb,0.4,NTU,,
DERM,SP08,2,2021,Turb,1.2,NTU,,
DERM,SP01,2,2021,Turb,0.6,NTU,,
DERM,BB15A,2,2021,Turb,1.8,NTU,,
DERM,CD01A,2,2021,Turb,0.7,NTU,,
DERM,CD09,2,2021,Turb,0.7,NTU,,
DERM,BISC127,2,2021,Turb,0.7,NTU,,
DERM,BB08,2,2021,Turb,1,NTU,,
DERM,BB37,2,2021,Turb,1.9,NTU,,
DERM,SP04,2,2021,Turb,1.2,NTU,,
DERM,BB32,2,2021,Turb,0.8,NTU,,
DERM,BBKB1,2,2021,Turb,1.2,NTU,,
DERM,CD02,2,2021,Turb,0.3,NTU,,
DERM,CD05,2,2021,Turb,0.6,NTU,,
DERM,CG02A,2,2021,Turb,2.4,NTU,,
DERM,BBMB4,2,2021,Turb,3.1,NTU,,
DERM,BBMB3,2,2021,Turb,1.8,NTU,,
DERM,BBMB2,2,2021,Turb,1.9,NTU,,
DERM,LR05,3,2021,Turb,1,NTU,,
DERM,LR06,3,2021,Turb,1,NTU,,
DERM,BS04,3,2021,Turb,1,NTU,,
DERM,BB14,3,2021,Turb,3.8,NTU,,
DERM,LR08,3,2021,Turb,0.8,NTU,,
DERM,AC03,3,2021,Turb,3.6,NTU,,
DERM,BB11,3,2021,Turb,4.6,NTU,,
DERM,LR01,3,2021,Turb,2.7,NTU,,
DERM,AC06,3,2021,Turb,25.4,NTU,,
DERM,LR10,3,2021,Turb,0.9,NTU,,
DERM,BS01,3,2021,Turb,0.8,NTU,,
DERM,BB09,3,2021,Turb,1.5,NTU,,
DERM,BB10,3,2021,Turb,1.8,NTU,,
DERM,OL03,3,2021,Turb,1,NTU,,
DERM,SK10,3,2021,Turb,2.2,NTU,,
DERM,AC01,3,2021,Turb,0.8,NTU,,
DERM,SK05,3,2021,Turb,0.8,NTU,,
DERM,BB05A,3,2021,Turb,1.4,NTU,,
DERM,BB04,3,2021,Turb,1.1,NTU,,
DERM,BS11,3,2021,Turb,5.3,NTU,,
DERM,SK02,3,2021,Turb,0.7,NTU,,
DERM,BS10,3,2021,Turb,0.9,NTU,,
DERM,BB02,3,2021,Turb,0.6,NTU,,
DERM,SK01,3,2021,Turb,1.1,NTU,,
DERM,SK09,3,2021,Turb,0.6,NTU,,
DERM,BB26,3,2021,Turb,0.9,NTU,,
DERM,TM05,3,2021,Turb,2.8,NTU,,
DERM,WC02,3,2021,Turb,0.8,NTU,,
DERM,BB22,3,2021,Turb,1.7,NTU,,
DERM,WC03,3,2021,Turb,1.2,NTU,,
DERM,TM08,3,2021,Turb,0.6,NTU,,
DERM,WC04,3,2021,Turb,3.1,NTU,,
DERM,BB24,3,2021,Turb,0.5,NTU,,
